session,code,group,player,type,round,epsilon,pie_avg,r,y,pi_actual,my_pie,score,total_pay
2026-04-25_09-39-56,32CL,1,B,private,1,0.57,4.0,10.0,-7.43,2.1425,2.0,9.98,9.98
2026-04-25_09-39-56,32CL,1,A,private,1,0.57,4.0,10.0,-7.43,2.1425,3.0,9.27,9.27
2026-04-25_09-39-56,32CL,1,D,private,1,0.57,4.0,10.0,-7.43,2.1425,6.0,0,0.0
2026-04-25_09-39-56,32CL,1,C,private,1,0.57,4.0,10.0,-7.43,2.1425,5.0,1.84,1.84
2026-04-25_09-39-56,32CL,1,E,cb,1,0.57,4.0,10.0,-7.43,2.1425,,14.36,14.36
2026-04-25_09-39-56,32CL,1,B,private,2,0.49,2.5,5.0,-2.51,1.8725,2.0,9.99,19.97
2026-04-25_09-39-56,32CL,1,A,private,2,0.49,2.5,5.0,-2.51,1.8725,1.0,9.24,18.51
2026-04-25_09-39-56,32CL,1,D,private,2,0.49,2.5,5.0,-2.51,1.8725,4.0,5.48,5.48
2026-04-25_09-39-56,32CL,1,C,private,2,0.49,2.5,5.0,-2.51,1.8725,3.0,8.73,10.57
2026-04-25_09-39-56,32CL,1,E,cb,2,0.49,2.5,5.0,-2.51,1.8725,,18.98,33.34
