session,code,group,player,type,round,epsilon,pie_avg,r,y,pi_actual,my_pie,score,total_pay
2026-04-25_14-37-13,8ZFR,1,tui,private,1,0.76,2.55,2.96,-0.2,2.5,1.6,9.19,9.19
2026-04-25_14-37-13,8ZFR,1,BA,private,1,0.76,2.55,2.96,-0.2,2.5,4.0,7.75,7.75
2026-04-25_14-37-13,8ZFR,1,lila,private,1,0.76,2.55,2.96,-0.2,2.5,2.3,9.96,9.96
2026-04-25_14-37-13,8ZFR,1,Cece,private,1,0.76,2.55,2.96,-0.2,2.5,2.3,9.96,9.96
2026-04-25_14-37-13,8ZFR,1,ab,cb,1,0.76,2.55,2.96,-0.2,2.5,,20.0,20.0
2026-04-25_14-37-13,8ZFR,1,tui,private,2,1.16,2.1625,1.8,1.36,2.5025,2.0,9.75,18.94
2026-04-25_14-37-13,8ZFR,1,BA,private,2,1.16,2.1625,1.8,1.36,2.5025,2.3,9.96,17.71
2026-04-25_14-37-13,8ZFR,1,lila,private,2,1.16,2.1625,1.8,1.36,2.5025,2.25,9.94,19.9
2026-04-25_14-37-13,8ZFR,1,Cece,private,2,1.16,2.1625,1.8,1.36,2.5025,2.1,9.84,19.8
2026-04-25_14-37-13,8ZFR,1,ab,cb,2,1.16,2.1625,1.8,1.36,2.5025,,20.0,40.0
2026-04-25_14-37-13,8ZFR,1,tui,private,3,0.63,2.145,1.23,1.4,2.495,2.4,10.0,28.94
2026-04-25_14-37-13,8ZFR,1,BA,private,3,0.63,2.145,1.23,1.4,2.495,2.25,9.94,27.65
2026-04-25_14-37-13,8ZFR,1,lila,private,3,0.63,2.145,1.23,1.4,2.495,1.93,9.69,29.59
2026-04-25_14-37-13,8ZFR,1,Cece,private,3,0.63,2.145,1.23,1.4,2.495,2.0,9.76,29.56
2026-04-25_14-37-13,8ZFR,1,ab,cb,3,0.63,2.145,1.23,1.4,2.495,,20.0,60.0
