session,code,group,player,type,round,epsilon,pie_avg,r,y,pi_actual,my_pie,score,total_pay
2026-04-25_14-53-02,UJLG,1,bb,private,1,-0.61,3.725,0.0,1.39,4.0725,7.0,1.43,1.43
2026-04-25_14-53-02,UJLG,1,AB,private,1,-0.61,3.725,0.0,1.39,4.0725,4.0,10.0,10.0
2026-04-25_14-53-02,UJLG,1,gigi,private,1,-0.61,3.725,0.0,1.39,4.0725,2.5,7.53,7.53
2026-04-25_14-53-02,UJLG,1,nibu,private,1,-0.61,3.725,0.0,1.39,4.0725,1.4,2.86,2.86
2026-04-25_14-53-02,UJLG,1,BA,cb,1,-0.61,3.725,0.0,1.39,4.0725,,17.34,17.34
2026-04-25_14-53-02,UJLG,1,bb,private,2,0.89,3.445,0.33,2.56,4.085,4.0,10.0,11.43
2026-04-25_14-53-02,UJLG,1,AB,private,2,0.89,3.445,0.33,2.56,4.085,2.7,8.09,18.09
2026-04-25_14-53-02,UJLG,1,gigi,private,2,0.89,3.445,0.33,2.56,4.085,4.08,10.0,17.53
2026-04-25_14-53-02,UJLG,1,nibu,private,2,0.89,3.445,0.33,2.56,4.085,3.0,8.83,11.69
2026-04-25_14-53-02,UJLG,1,BA,cb,2,0.89,3.445,0.33,2.56,4.085,,16.84,34.18
2026-04-25_14-53-02,UJLG,1,bb,private,3,0.57,3.955,0.0,2.57,4.5975,4.08,9.74,21.17
2026-04-25_14-53-02,UJLG,1,AB,private,3,0.57,3.955,0.0,2.57,4.5975,5.1,9.75,27.84
2026-04-25_14-53-02,UJLG,1,gigi,private,3,0.57,3.955,0.0,2.57,4.5975,3.64,9.09,26.62
2026-04-25_14-53-02,UJLG,1,nibu,private,3,0.57,3.955,0.0,2.57,4.5975,3.0,7.45,19.14
2026-04-25_14-53-02,UJLG,1,BA,cb,3,0.57,3.955,0.0,2.57,4.5975,,14.95,49.13
